semestre;sexo;alumno;asignatura;tipo;ep1;ep2;ea;pf;estado
1;1;1712810129;IGA201;1;8;8;0;8;A
1;1;1712810130;IGA201;1;15;15;0;15;A
1;1;1712810201;INAF101;1;11;11;0;11;A
1;2;1712810202;INAF101;1;11;11;0;11;A
1;2;1712810203;INAF101;1;11;11;0;11;A
1;2;1712810204;INAF101;1;11;11;0;11;A
1;2;1712810205;INAF101;1;13;13;0;13;A
1;1;1712810206;INAF101;1;13;13;0;13;A
1;1;1712810207;INAF101;1;8;8;0;8;A
1;1;1712810208;INAF101;1;11;11;0;11;A
1;1;1712810209;INAF101;1;11;11;0;11;A
1;1;1712810210;INAF101;1;6;6;0;6;A
1;2;1712810211;INAF101;1;11;11;0;11;A
1;1;1712810212;INAF101;1;11;11;0;11;A
1;2;1712810213;INAF101;1;11;11;0;11;A
1;1;1712810214;INAF101;1;12;12;0;12;A
1;2;1712810215;INAF101;1;11;11;0;11;A
1;1;1712810216;INAF101;1;11;11;0;11;A
1;1;1712810217;INAF101;1;11;11;0;11;A
1;2;1712810218;INAF101;1;11;11;0;11;A
1;1;1712810219;INAF101;1;11;11;0;11;A
1;1;1712810220;INAF101;1;6;6;0;6;A
1;2;1712810221;INAF101;1;11;11;0;11;A
1;2;1712810222;INAF101;1;11;11;0;11;A
1;2;1712810223;INAF101;1;11;11;0;11;A
1;2;1712810224;INAF101;1;10;10;0;10;A
1;2;1712810225;INAF101;1;11;11;0;11;A
1;2;1712810226;INAF101;1;11;11;0;11;A
1;2;1712810227;INAF101;1;0;0;0;0;A
1;1;1712810228;INAF101;1;0;0;0;0;A
1;1;1712810229;INAF101;1;0;0;0;0;A
1;2;1712810230;INAF101;1;11;11;0;11;A
1;1;1712810201;INAF102;1;11;11;0;11;A
1;2;1712810202;INAF102;1;12;12;0;12;A
1;2;1712810203;INAF102;1;13;13;0;13;A
1;2;1712810204;INAF102;1;12;12;0;12;A
1;2;1712810205;INAF102;1;11;11;0;11;A
1;1;1712810206;INAF102;1;11;11;0;11;A
1;1;1712810207;INAF102;1;11;11;0;11;A
1;1;1712810208;INAF102;1;12;12;0;12;A
1;1;1712810209;INAF102;1;12;12;0;12;A
1;1;1712810210;INAF102;1;11;11;0;11;A
1;2;1712810211;INAF102;1;12;12;0;12;A
1;1;1712810212;INAF102;1;12;12;0;12;A
1;2;1712810213;INAF102;1;12;12;0;12;A
1;1;1712810214;INAF102;1;13;13;0;13;A
1;2;1712810215;INAF102;1;12;12;0;12;A
1;1;1712810216;INAF102;1;11;11;0;11;A
1;1;1712810217;INAF102;1;13;13;0;13;A
1;2;1712810218;INAF102;1;12;12;0;12;A
1;1;1712810219;INAF102;1;12;12;0;12;A
1;1;1712810220;INAF102;1;11;11;0;11;A
1;2;1712810221;INAF102;1;12;12;0;12;A
1;2;1712810222;INAF102;1;13;13;0;13;A
1;2;1712810223;INAF102;1;13;13;0;13;A
1;2;1712810224;INAF102;1;12;12;0;12;A
1;2;1712810225;INAF102;1;13;13;0;13;A
1;2;1712810226;INAF102;1;13;13;0;13;A
1;2;1712810227;INAF102;1;0;0;0;0;A
1;1;1712810228;INAF102;1;0;0;0;0;A
1;1;1712810229;INAF102;1;0;0;0;0;A
1;2;1712810230;INAF102;1;11;11;0;11;A
1;1;1712810201;INAF103;1;13;13;0;13;A
1;2;1712810202;INAF103;1;13;13;0;13;A
1;2;1712810203;INAF103;1;16;16;0;16;A
1;2;1712810204;INAF103;1;13;13;0;13;A
1;2;1712810205;INAF103;1;14;14;0;14;A
1;1;1712810206;INAF103;1;14;14;0;14;A
1;1;1712810207;INAF103;1;11;11;0;11;A
1;1;1712810208;INAF103;1;14;14;0;14;A
1;1;1712810209;INAF103;1;14;14;0;14;A
1;1;1712810210;INAF103;1;17;17;0;17;A
1;2;1712810211;INAF103;1;14;14;0;14;A
1;1;1712810212;INAF103;1;13;13;0;13;A
1;2;1712810213;INAF103;1;14;14;0;14;A
1;1;1712810214;INAF103;1;16;16;0;16;A
1;2;1712810215;INAF103;1;13;13;0;13;A
1;1;1712810216;INAF103;1;14;14;0;14;A
1;1;1712810217;INAF103;1;15;15;0;15;A
1;2;1712810218;INAF103;1;14;14;0;14;A
1;1;1712810219;INAF103;1;12;12;0;12;A
